# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	rRNA	GCF_014076495.1	Primary Assembly	chromosome		NZ_CP043575.1	68	2946	-							F0Q04_RS00005	2879		
rRNA		GCF_014076495.1	Primary Assembly	chromosome		NZ_CP043575.1	68	2946	-				23S ribosomal RNA			F0Q04_RS00005	2879		
gene	tRNA	GCF_014076495.1	Primary Assembly	chromosome		NZ_CP043575.1	3335	3410	-							F0Q04_RS00010	76		
tRNA		GCF_014076495.1	Primary Assembly	chromosome		NZ_CP043575.1	3335	3410	-				tRNA-Ala			F0Q04_RS00010	76		anticodon=TGC
gene	tRNA	GCF_014076495.1	Primary Assembly	chromosome		NZ_CP043575.1	3570	3646	-							F0Q04_RS00015	77		
tRNA		GCF_014076495.1	Primary Assembly	chromosome		NZ_CP043575.1	3570	3646	-				tRNA-Ile			F0Q04_RS00015	77		anticodon=GAT
gene	rRNA	GCF_014076495.1	Primary Assembly	chromosome		NZ_CP043575.1	3814	5342	-							F0Q04_RS00020	1529		
rRNA		GCF_014076495.1	Primary Assembly	chromosome		NZ_CP043575.1	3814	5342	-				16S ribosomal RNA			F0Q04_RS00020	1529		
gene	protein_coding	GCF_014076495.1	Primary Assembly	chromosome		NZ_CP043575.1	5767	6720	-					gshB		F0Q04_RS00025	954		
CDS	with_protein	GCF_014076495.1	Primary Assembly	chromosome		NZ_CP043575.1	5767	6720	-	WP_182343853.1	WP_182343853.1		glutathione synthase	gshB		F0Q04_RS00025	954	317	
gene	protein_coding	GCF_014076495.1	Primary Assembly	chromosome		NZ_CP043575.1	6819	8000	-							F0Q04_RS00030	1182		
CDS	with_protein	GCF_014076495.1	Primary Assembly	chromosome		NZ_CP043575.1	6819	8000	-	WP_182343855.1	WP_182343855.1		benzoate/H(+) symporter BenE family transporter			F0Q04_RS00030	1182	393	
gene	protein_coding	GCF_014076495.1	Primary Assembly	chromosome		NZ_CP043575.1	8070	9947	-							F0Q04_RS00035	1878		
CDS	with_protein	GCF_014076495.1	Primary Assembly	chromosome		NZ_CP043575.1	8070	9947	-	WP_232539464.1	WP_232539464.1		potassium transporter Kup			F0Q04_RS00035	1878	625	
gene	protein_coding	GCF_014076495.1	Primary Assembly	chromosome		NZ_CP043575.1	10109	11398	-					gshA		F0Q04_RS00040	1290		
CDS	with_protein	GCF_014076495.1	Primary Assembly	chromosome		NZ_CP043575.1	10109	11398	-	WP_021026705.1	WP_021026705.1		glutamate--cysteine ligase	gshA		F0Q04_RS00040	1290	429	
gene	protein_coding	GCF_014076495.1	Primary Assembly	chromosome		NZ_CP043575.1	11515	12981	-							F0Q04_RS00045	1467		
CDS	with_protein	GCF_014076495.1	Primary Assembly	chromosome		NZ_CP043575.1	11515	12981	-	WP_182343859.1	WP_182343859.1		TrkH family potassium uptake protein			F0Q04_RS00045	1467	488	
gene	protein_coding	GCF_014076495.1	Primary Assembly	chromosome		NZ_CP043575.1	12991	14481	-					trkA		F0Q04_RS00050	1491		
