# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	101	1651	+					dnaA		LAD35_RS00005	1551		old_locus_tag=LAD35_00005
CDS	with_protein	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	101	1651	+	WP_224150730.1	WP_224150730.1		chromosomal replication initiator protein DnaA	dnaA		LAD35_RS00005	1551	516	
gene	protein_coding	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	1799	2917	+					dnaN		LAD35_RS00010	1119		old_locus_tag=LAD35_00010
CDS	with_protein	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	1799	2917	+	WP_224150731.1	WP_224150731.1		DNA polymerase III subunit beta	dnaN		LAD35_RS00010	1119	372	
gene	protein_coding	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	3043	5622	+					gyrB		LAD35_RS00015	2580		old_locus_tag=LAD35_00015
CDS	with_protein	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	3043	5622	+	WP_224150732.1	WP_224150732.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB		LAD35_RS00015	2580	859	
gene	pseudogene	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	5894	7466	+							LAD35_RS00020	1573		pseudo;old_locus_tag=LAD35_00020
CDS	without_protein	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	5894	7466	+				Na+/H+ antiporter			LAD35_RS00020	1573		pseudo
gene	protein_coding	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	7623	8714	-							LAD35_RS00025	1092		old_locus_tag=LAD35_00025
CDS	with_protein	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	7623	8714	-	WP_224150733.1	WP_224150733.1		siderophore-interacting protein			LAD35_RS00025	1092	363	
gene	protein_coding	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	8980	11061	+							LAD35_RS00030	2082		old_locus_tag=LAD35_00030
CDS	with_protein	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	8980	11061	+	WP_224150734.1	WP_224150734.1		TonB-dependent siderophore receptor			LAD35_RS00030	2082	693	
gene	protein_coding	GCF_020080045.1	Primary Assembly	chromosome		NZ_CP083451.1	11215	12537	+							LAD35_RS00035	1323		old_locus_tag=LAD35_00035
