# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_018064205.1	Primary Assembly	chromosome		NZ_CP072916.1	227	370	-							KAQ61_RS00005	144		old_locus_tag=KAQ61_00005
CDS	with_protein	GCF_018064205.1	Primary Assembly	chromosome		NZ_CP072916.1	227	370	-	WP_169741455.1	WP_169741455.1		hypothetical protein			KAQ61_RS00005	144	47	
gene	protein_coding	GCF_018064205.1	Primary Assembly	chromosome		NZ_CP072916.1	533	1591	-							KAQ61_RS00010	1059		old_locus_tag=KAQ61_00010
CDS	with_protein	GCF_018064205.1	Primary Assembly	chromosome		NZ_CP072916.1	533	1591	-	WP_210930097.1	WP_210930097.1		porin			KAQ61_RS00010	1059	352	
gene	protein_coding	GCF_018064205.1	Primary Assembly	chromosome		NZ_CP072916.1	1825	3513	-							KAQ61_RS00015	1689		old_locus_tag=KAQ61_00015
CDS	with_protein	GCF_018064205.1	Primary Assembly	chromosome		NZ_CP072916.1	1825	3513	-	WP_043385311.1	WP_043385311.1		MHS family MFS transporter			KAQ61_RS00015	1689	562	
gene	protein_coding	GCF_018064205.1	Primary Assembly	chromosome		NZ_CP072916.1	3721	4362	-							KAQ61_RS00020	642		old_locus_tag=KAQ61_00020
CDS	with_protein	GCF_018064205.1	Primary Assembly	chromosome		NZ_CP072916.1	3721	4362	-	WP_042414559.1	WP_042414559.1		2-hydroxychromene-2-carboxylate isomerase			KAQ61_RS00020	642	213	
gene	protein_coding	GCF_018064205.1	Primary Assembly	chromosome		NZ_CP072916.1	4383	5156	-							KAQ61_RS00025	774		old_locus_tag=KAQ61_00025
CDS	with_protein	GCF_018064205.1	Primary Assembly	chromosome		NZ_CP072916.1	4383	5156	-	WP_210930098.1	WP_210930098.1		DUF1289 domain-containing protein			KAQ61_RS00025	774	257	
gene	protein_coding	GCF_018064205.1	Primary Assembly	chromosome		NZ_CP072916.1	5157	6086	-							KAQ61_RS00030	930		old_locus_tag=KAQ61_00030
CDS	with_protein	GCF_018064205.1	Primary Assembly	chromosome		NZ_CP072916.1	5157	6086	-	WP_210930099.1	WP_210930099.1		hydroxymethylglutaryl-CoA lyase			KAQ61_RS00030	930	309	
gene	protein_coding	GCF_018064205.1	Primary Assembly	chromosome		NZ_CP072916.1	6120	7040	-							KAQ61_RS00035	921		old_locus_tag=KAQ61_00035
