# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_020886175.1	Primary Assembly	chromosome		NZ_AP025193.1	101	1507	+					dnaA	69557657	Cthiooxydans_RS00005	1407		old_locus_tag=Cthiooxydans_00010
CDS	with_protein	GCF_020886175.1	Primary Assembly	chromosome		NZ_AP025193.1	101	1507	+	WP_003064795.1	WP_003064795.1		chromosomal replication initiator protein DnaA	dnaA	69557657	Cthiooxydans_RS00005	1407	468	
gene	protein_coding	GCF_020886175.1	Primary Assembly	chromosome		NZ_AP025193.1	1690	2811	+					dnaN	69557658	Cthiooxydans_RS00010	1122		old_locus_tag=Cthiooxydans_00020
CDS	with_protein	GCF_020886175.1	Primary Assembly	chromosome		NZ_AP025193.1	1690	2811	+	WP_003064798.1	WP_003064798.1		DNA polymerase III subunit beta	dnaN	69557658	Cthiooxydans_RS00010	1122	373	
gene	protein_coding	GCF_020886175.1	Primary Assembly	chromosome		NZ_AP025193.1	2960	5527	+					gyrB	69557659	Cthiooxydans_RS00015	2568		old_locus_tag=Cthiooxydans_00030
CDS	with_protein	GCF_020886175.1	Primary Assembly	chromosome		NZ_AP025193.1	2960	5527	+	WP_034351106.1	WP_034351106.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB	69557659	Cthiooxydans_RS00015	2568	855	
gene	protein_coding	GCF_020886175.1	Primary Assembly	chromosome		NZ_AP025193.1	5527	6024	+						69557660	Cthiooxydans_RS00020	498		old_locus_tag=Cthiooxydans_00040
CDS	with_protein	GCF_020886175.1	Primary Assembly	chromosome		NZ_AP025193.1	5527	6024	+	WP_003064801.1	WP_003064801.1		MarR family transcriptional regulator		69557660	Cthiooxydans_RS00020	498	165	
gene	protein_coding	GCF_020886175.1	Primary Assembly	chromosome		NZ_AP025193.1	6039	7028	-						69557661	Cthiooxydans_RS00025	990		old_locus_tag=Cthiooxydans_00050
CDS	with_protein	GCF_020886175.1	Primary Assembly	chromosome		NZ_AP025193.1	6039	7028	-	WP_041743853.1	WP_041743853.1		tripartite tricarboxylate transporter substrate binding protein		69557661	Cthiooxydans_RS00025	990	329	
gene	protein_coding	GCF_020886175.1	Primary Assembly	chromosome		NZ_AP025193.1	7051	7779	-						69557662	Cthiooxydans_RS00030	729		old_locus_tag=Cthiooxydans_00060
CDS	with_protein	GCF_020886175.1	Primary Assembly	chromosome		NZ_AP025193.1	7051	7779	-	WP_087864686.1	WP_087864686.1		SDR family oxidoreductase		69557662	Cthiooxydans_RS00030	729	242	
gene	protein_coding	GCF_020886175.1	Primary Assembly	chromosome		NZ_AP025193.1	7890	8696	-						69557663	Cthiooxydans_RS00035	807		old_locus_tag=Cthiooxydans_00070
CDS	with_protein	GCF_020886175.1	Primary Assembly	chromosome		NZ_AP025193.1	7890	8696	-	WP_012836532.1	WP_012836532.1		cyclase family protein		69557663	Cthiooxydans_RS00035	807	268	
gene	protein_coding	GCF_020886175.1	Primary Assembly	chromosome		NZ_AP025193.1	8698	9951	-						69557664	Cthiooxydans_RS00040	1254		old_locus_tag=Cthiooxydans_00080
CDS	with_protein	GCF_020886175.1	Primary Assembly	chromosome		NZ_AP025193.1	8698	9951	-	WP_087864685.1	WP_087864685.1		SDR family NAD(P)-dependent oxidoreductase		69557664	Cthiooxydans_RS00040	1254	417	
gene	protein_coding	GCF_020886175.1	Primary Assembly	chromosome		NZ_AP025193.1	10037	11215	-						69557665	Cthiooxydans_RS00045	1179		old_locus_tag=Cthiooxydans_00090
